date,headline,realized_volatility
2020-04-08,Trading volume drops for Microsoft on regulatory approval,1.9109
2020-04-09,Meta stock falls 13% on earnings report,0.7048
2020-04-10,Market volatility spikes as geopolitical tensions,9.5186
2020-04-11,Tech stocks drops amid geopolitical tensions,1.7856
2020-04-12,"Meta announces dividend increase, shares jump",12.2956
2020-04-13,Nvidia stock drops 13% on earnings report,8.3277
2020-04-14,Amazon stock surges 8% on product launch,2.5533
2020-04-15,Trading volume spikes for Amazon on product launch,0.9513
2020-04-16,Market volatility increases as supply chain issues,2.474
2020-04-17,"Tesla faces lawsuit, analysts revise outlook",0.3083
2020-04-18,"Meta CEO resigns, stock price jump",2.1916
2020-04-19,"Microsoft reports strong quarterly earnings, exceeding analyst expectations",16.6582
2020-04-20,Microsoft stock surges 9% on product launch,6.3958
2020-04-21,"Meta reports strong quarterly earnings, beating analyst expectations",1.5004
2020-04-22,"Amazon faces regulatory scrutiny, analysts upgrade",2.4119
2020-04-23,"Nvidia announces dividend increase, shares jump",0.6723
2020-04-24,"Amazon announces buyback program, shares decline",5.4532
2020-04-25,Microsoft stock falls 10% on earnings report,0.4497
2020-04-26,"Tesla faces competition, analysts downgrade",1.0646
2020-04-27,"Microsoft faces lawsuit, analysts upgrade",1.0995
2020-04-28,"Federal Reserve raises rates, uncertainty expected",3.7048
2020-04-29,"GDP exceeds expectations, markets jump",0.6402
2020-04-30,Trading volume spikes for Tesla on merger news,8.6813
2020-05-01,"Tesla reports weak quarterly earnings, exceeding analyst expectations",0.4397
2020-05-02,Meta stock plunges 7% on merger news,0.5649
2020-05-03,"Tesla CEO appointed, stock price jump",0.3307
2020-05-04,Consumer stocks surges amid inflation concerns,2.8793
2020-05-05,"Federal Reserve maintains policy, stability expected",2.8634
2020-05-06,Trading volume drops for Microsoft on earnings report,0.9714
2020-05-07,"Tesla reports strong quarterly earnings, missing analyst expectations",27.5183
2020-05-08,"Google announces buyback program, shares jump",6.1846
2020-05-09,Microsoft stock drops 11% on merger news,0.2605
2020-05-10,"Tesla reports disappointing quarterly earnings, meeting analyst expectations",0.7064
2020-05-11,Market volatility surges as supply chain issues,9.6109
2020-05-12,Consumer stocks plunges amid geopolitical tensions,1.2496
2020-05-13,"Microsoft announces stock split, shares fall",1.1989
2020-05-14,Trading volume doubles for Apple on product launch,2.7137
2020-05-15,"Google CEO resigns, stock price soar",1.8766
2020-05-16,Financial stocks falls amid recession fears,2.4803
2020-05-17,"Nvidia reports strong quarterly earnings, beating analyst expectations",0.787
2020-05-18,"Tesla announces dividend increase, shares fall",4.3093
2020-05-19,"Apple faces competition, analysts maintain rating",0.1505
2020-05-20,"Inflation exceeds expectations, markets decline",1.0457
2020-05-21,Energy stocks plunges amid recession fears,3.9005
2020-05-22,"Tesla CEO announces strategy shift, stock price soar",0.6301
2020-05-23,Financial stocks plunges amid inflation concerns,6.6978
2020-05-24,Healthcare stocks climbs amid supply chain issues,9.3445
2020-05-25,Consumer stocks surges amid inflation concerns,1.0591
2020-05-26,Trading volume drops for Microsoft on regulatory approval,0.5469
2020-05-27,"Apple CEO appointed, stock price rise",1.4007
2020-05-28,Market volatility rises as recession fears,3.3676
2020-05-29,"Federal Reserve maintains policy, volatility expected",1.4278
2020-05-30,"Nvidia CEO resigns, stock price decline",4.0324
2020-05-31,"Meta faces scandal, analysts upgrade",0.8253
2020-06-01,"Meta CEO appointed, stock price jump",0.7086
2020-06-02,"Amazon reports record quarterly earnings, beating analyst expectations",3.8932
2020-06-03,Trading volume drops for Google on regulatory approval,1.031
2020-06-04,"Federal Reserve cuts rates, uncertainty expected",11.9637
2020-06-05,Market volatility rises as supply chain issues,1.7303
2020-06-06,"Amazon announces stock split, shares rise",3.8167
2020-06-07,Trading volume drops for Microsoft on product launch,1.4294
2020-06-08,Consumer stocks surges amid supply chain issues,1.4696
2020-06-09,"Nvidia faces lawsuit, analysts downgrade",2.5146
2020-06-10,Market volatility rises as geopolitical tensions,1.2173
2020-06-11,Financial stocks surges amid inflation concerns,3.0574
2020-06-12,"Federal Reserve signals dovish stance, growth expected",2.2306
2020-06-13,"Employment disappoints, markets fall",1.9871
2020-06-14,"Amazon CEO appointed, stock price decline",2.8826
2020-06-15,Trading volume doubles for Meta on regulatory approval,13.4949
2020-06-16,"Meta announces restructuring, shares soar",3.2931
2020-06-17,"Employment disappoints, markets decline",1.6087
2020-06-18,Google stock falls 5% on regulatory approval,0.9233
2020-06-19,"Nvidia CEO appointed, stock price tumble",2.0552
2020-06-20,"Meta announces buyback program, shares rise",0.2941
2020-06-21,Market volatility increases as recession fears,6.0199
2020-06-22,"Meta reports record quarterly earnings, exceeding analyst expectations",2.1235
2020-06-23,"Google reports record quarterly earnings, meeting analyst expectations",2.6429
2020-06-24,"Google reports weak quarterly earnings, meeting analyst expectations",3.0984
2020-06-25,"Nvidia reports disappointing quarterly earnings, missing analyst expectations",0.6253
2020-06-26,"Meta faces scandal, analysts upgrade",5.849
2020-06-27,"Apple reports disappointing quarterly earnings, meeting analyst expectations",2.9615
2020-06-28,Tesla stock surges 5% on merger news,4.2957
2020-06-29,Trading volume spikes for Amazon on product launch,1.9331
2020-06-30,"Federal Reserve cuts rates, growth expected",1.2015
2020-07-01,Trading volume drops for Amazon on merger news,1.4756
2020-07-02,Tech stocks climbs amid recession fears,1.738
2020-07-03,Market volatility spikes as inflation concerns,1.5434
2020-07-04,Energy stocks falls amid recession fears,1.1375
2020-07-05,Meta stock plunges 3% on earnings report,2.3772
2020-07-06,Market volatility surges as geopolitical tensions,10.6812
2020-07-07,"Meta announces dividend increase, shares rise",4.6208
2020-07-08,"Nvidia announces stock split, shares soar",1.2994
2020-07-09,"Microsoft CEO appointed, stock price decline",3.6318
2020-07-10,"Meta CEO resigns, stock price jump",2.3399
2020-07-11,"Apple CEO resigns, stock price rise",2.0715
2020-07-12,"Nvidia reports weak quarterly earnings, missing analyst expectations",3.1004
2020-07-13,Market volatility spikes as supply chain issues,1.5926
2020-07-14,"Meta announces restructuring, shares jump",4.1832
2020-07-15,Microsoft stock climbs 9% on product launch,3.2157
2020-07-16,"Inflation disappoints, markets tumble",0.7712
2020-07-17,"Microsoft reports weak quarterly earnings, beating analyst expectations",2.1062
2020-07-18,"Employment disappoints, markets decline",1.6609
2020-07-19,"Retail sales falls, markets soar",0.391
2020-07-20,Trading volume doubles for Nvidia on merger news,3.2324
2020-07-21,"Google faces lawsuit, analysts maintain rating",0.7764
2020-07-22,"GDP falls, markets soar",2.9095
2020-07-23,Google stock surges 7% on merger news,3.6629
2020-07-24,Trading volume drops for Google on earnings report,2.8478
2020-07-25,Trading volume spikes for Tesla on earnings report,3.1089
2020-07-26,"Apple reports disappointing quarterly earnings, missing analyst expectations",5.9331
2020-07-27,Market volatility rises as inflation concerns,0.8343
2020-07-28,Market volatility surges as geopolitical tensions,1.7624
2020-07-29,Trading volume doubles for Amazon on regulatory approval,2.505
2020-07-30,Nvidia stock drops 4% on regulatory approval,1.3175
2020-07-31,"Google announces restructuring, shares tumble",1.9067
2020-08-01,"Tesla faces regulatory scrutiny, analysts maintain rating",0.6473
2020-08-02,"Microsoft reports surprising quarterly earnings, exceeding analyst expectations",1.007
2020-08-03,"Google announces dividend increase, shares rise",3.0227
2020-08-04,"Nvidia announces stock split, shares rise",5.4275
2020-08-05,Trading volume doubles for Nvidia on product launch,1.0653
2020-08-06,Financial stocks rallies amid geopolitical tensions,5.2368
2020-08-07,Tech stocks drops amid inflation concerns,3.5443
2020-08-08,Financial stocks surges amid supply chain issues,3.2842
2020-08-09,"Retail sales exceeds expectations, markets fall",1.3658
2020-08-10,"Nvidia reports weak quarterly earnings, meeting analyst expectations",4.5866
2020-08-11,"Apple CEO announces strategy shift, stock price tumble",5.3217
2020-08-12,"Tesla CEO resigns, stock price rise",2.4583
2020-08-13,"Employment falls, markets decline",1.2009
2020-08-14,"Apple reports disappointing quarterly earnings, missing analyst expectations",1.665
2020-08-15,Market volatility rises as supply chain issues,0.8926
2020-08-16,"Apple faces competition, analysts revise outlook",0.5487
2020-08-17,"Federal Reserve signals dovish stance, stability expected",0.318
2020-08-18,"Employment exceeds expectations, markets jump",0.3493
2020-08-19,"Amazon announces stock split, shares tumble",5.5793
2020-08-20,"Microsoft announces dividend increase, shares soar",0.9697
2020-08-21,Market volatility spikes as inflation concerns,4.5083
2020-08-22,"Federal Reserve cuts rates, growth expected",0.6574
2020-08-23,"Apple faces competition, analysts maintain rating",0.1877
2020-08-24,"Nvidia reports record quarterly earnings, missing analyst expectations",6.2398
2020-08-25,Market volatility increases as supply chain issues,1.4049
2020-08-26,Market volatility rises as geopolitical tensions,3.9561
2020-08-27,"Amazon announces dividend increase, shares tumble",3.304
2020-08-28,"Google CEO resigns, stock price soar",10.0796
2020-08-29,"Apple CEO resigns, stock price jump",2.0433
2020-08-30,"Google CEO announces strategy shift, stock price soar",0.91
2020-08-31,"Tesla faces lawsuit, analysts maintain rating",1.611
2020-09-01,"Apple faces regulatory scrutiny, analysts maintain rating",0.4864
2020-09-02,Tech stocks plunges amid supply chain issues,4.7263
2020-09-03,"Tesla faces competition, analysts downgrade",0.8584
2020-09-04,"GDP falls, markets soar",2.349
2020-09-05,"Google announces buyback program, shares rise",2.6606
2020-09-06,"Inflation exceeds expectations, markets soar",3.4503
2020-09-07,"Federal Reserve maintains policy, growth expected",1.582
2020-09-08,"Tesla faces competition, analysts revise outlook",6.3461
2020-09-09,"Microsoft reports weak quarterly earnings, missing analyst expectations",1.7283
2020-09-10,"Nvidia announces buyback program, shares fall",7.3227
2020-09-11,"Federal Reserve cuts rates, volatility expected",4.2711
2020-09-12,Market volatility increases as recession fears,4.7953
2020-09-13,"Federal Reserve maintains policy, stability expected",0.6672
2020-09-14,"Amazon faces competition, analysts downgrade",1.3896
2020-09-15,"Amazon announces dividend increase, shares jump",1.9557
2020-09-16,Amazon stock climbs 5% on product launch,1.0951
2020-09-17,"Nvidia reports disappointing quarterly earnings, missing analyst expectations",1.0335
2020-09-18,Google stock plunges 4% on merger news,59.2687
2020-09-19,"Google CEO resigns, stock price soar",1.9598
2020-09-20,Financial stocks surges amid inflation concerns,1.185
2020-09-21,"Tesla faces competition, analysts maintain rating",0.3933
2020-09-22,"Google announces restructuring, shares decline",0.8036
2020-09-23,Market volatility increases as recession fears,17.9169
2020-09-24,Trading volume spikes for Apple on product launch,6.5121
2020-09-25,"Federal Reserve signals dovish stance, uncertainty expected",20.5355
2020-09-26,"Tesla announces restructuring, shares jump",1.9164
2020-09-27,Market volatility increases as supply chain issues,1.1424
2020-09-28,"Tesla faces regulatory scrutiny, analysts revise outlook",1.1556
2020-09-29,Amazon stock drops 8% on product launch,2.4774
2020-09-30,"Google CEO announces strategy shift, stock price decline",11.5271
2020-10-01,"Tesla faces regulatory scrutiny, analysts revise outlook",1.3082
2020-10-02,"GDP rises, markets rise",3.2331
2020-10-03,Market volatility spikes as supply chain issues,6.0902
2020-10-04,"Federal Reserve maintains policy, growth expected",0.3812
2020-10-05,"Nvidia announces restructuring, shares rise",2.1908
2020-10-06,Market volatility surges as geopolitical tensions,6.2231
2020-10-07,"Amazon faces lawsuit, analysts maintain rating",0.7462
2020-10-08,"Apple CEO resigns, stock price soar",8.5739
2020-10-09,"Microsoft faces competition, analysts downgrade",16.2527
2020-10-10,"Federal Reserve maintains policy, uncertainty expected",3.8059
2020-10-11,Healthcare stocks plunges amid geopolitical tensions,1.9945
2020-10-12,"GDP exceeds expectations, markets soar",0.6897
2020-10-13,"Meta reports record quarterly earnings, beating analyst expectations",5.1699
2020-10-14,"Nvidia reports surprising quarterly earnings, exceeding analyst expectations",3.9027
2020-10-15,Microsoft stock surges 14% on merger news,0.3609
2020-10-16,Trading volume spikes for Google on earnings report,10.1124
2020-10-17,"Google announces restructuring, shares rise",9.7919
2020-10-18,"Federal Reserve raises rates, volatility expected",10.4233
2020-10-19,"Google announces buyback program, shares rise",1.0555
2020-10-20,Market volatility increases as inflation concerns,9.0298
2020-10-21,"Amazon reports strong quarterly earnings, beating analyst expectations",6.4686
2020-10-22,"Nvidia CEO resigns, stock price rise",7.6703
2020-10-23,Tesla stock plunges 6% on regulatory approval,3.0129
2020-10-24,"Nvidia announces restructuring, shares decline",2.4469
2020-10-25,"Google announces restructuring, shares jump",0.7389
2020-10-26,"Google faces competition, analysts downgrade",2.848
2020-10-27,Google stock drops 13% on product launch,2.9529
2020-10-28,Microsoft stock drops 11% on earnings report,0.8293
2020-10-29,"Meta faces scandal, analysts downgrade",2.2758
2020-10-30,Trading volume spikes for Apple on regulatory approval,3.4708
2020-10-31,"Tesla faces competition, analysts upgrade",0.9423
2020-11-01,"Tesla faces regulatory scrutiny, analysts revise outlook",1.8301
2020-11-02,"Apple faces scandal, analysts revise outlook",7.0791
2020-11-03,Google stock falls 4% on earnings report,0.7379
2020-11-04,"Google announces restructuring, shares soar",6.4689
2020-11-05,Trading volume drops for Amazon on regulatory approval,0.8313
2020-11-06,"Nvidia announces stock split, shares fall",4.769
2020-11-07,Market volatility spikes as recession fears,66.0457
2020-11-08,Market volatility increases as supply chain issues,6.0357
2020-11-09,"Google announces dividend increase, shares jump",8.6859
2020-11-10,Market volatility spikes as supply chain issues,4.9431
2020-11-11,Amazon stock drops 14% on product launch,2.1726
2020-11-12,"Apple announces stock split, shares jump",0.9908
2020-11-13,"Nvidia reports weak quarterly earnings, meeting analyst expectations",13.246
2020-11-14,"Meta announces buyback program, shares fall",1.2787
2020-11-15,"Microsoft announces buyback program, shares tumble",23.8072
2020-11-16,Financial stocks surges amid recession fears,30.3407
2020-11-17,"Inflation disappoints, markets fall",3.6221
2020-11-18,Market volatility rises as geopolitical tensions,2.3411
2020-11-19,Energy stocks surges amid supply chain issues,2.0555
2020-11-20,Financial stocks rallies amid geopolitical tensions,0.6542
2020-11-21,"Apple announces buyback program, shares soar",2.5644
2020-11-22,"Federal Reserve signals dovish stance, volatility expected",1.0918
2020-11-23,"Federal Reserve maintains policy, uncertainty expected",4.0636
2020-11-24,"Federal Reserve maintains policy, uncertainty expected",1.1038
2020-11-25,"Inflation exceeds expectations, markets soar",7.5748
2020-11-26,Amazon stock surges 12% on regulatory approval,5.6452
2020-11-27,"Meta CEO announces strategy shift, stock price tumble",3.5133
2020-11-28,Nvidia stock climbs 3% on regulatory approval,1.4014
2020-11-29,"Tesla CEO appointed, stock price jump",7.4655
2020-11-30,"Tesla CEO resigns, stock price decline",6.3565
2020-12-01,Nvidia stock surges 7% on regulatory approval,9.4616
2020-12-02,"Retail sales rises, markets soar",1.4563
2020-12-03,"Retail sales rises, markets rise",0.4426
2020-12-04,"Federal Reserve signals dovish stance, stability expected",2.8928
2020-12-05,"Federal Reserve cuts rates, stability expected",5.7043
2020-12-06,"Microsoft faces scandal, analysts maintain rating",1.5638
2020-12-07,"Nvidia announces stock split, shares tumble",8.7526
2020-12-08,Consumer stocks rallies amid inflation concerns,2.5546
2020-12-09,"Google CEO resigns, stock price fall",2.7494
2020-12-10,"Nvidia faces competition, analysts revise outlook",3.9761
2020-12-11,"Amazon CEO appointed, stock price soar",5.4089
2020-12-12,"Microsoft faces competition, analysts maintain rating",4.5762
2020-12-13,Market volatility increases as supply chain issues,1.3075
2020-12-14,Trading volume doubles for Meta on merger news,0.6276
2020-12-15,"Google announces restructuring, shares rise",2.9619
2020-12-16,"Tesla reports disappointing quarterly earnings, meeting analyst expectations",8.4012
2020-12-17,"Apple announces stock split, shares jump",1.1445
2020-12-18,Market volatility surges as inflation concerns,1.135
2020-12-19,"Microsoft reports weak quarterly earnings, exceeding analyst expectations",14.6111
2020-12-20,Apple stock drops 6% on merger news,0.8061
2020-12-21,"Tesla reports weak quarterly earnings, beating analyst expectations",1.051
2020-12-22,"Google CEO announces strategy shift, stock price tumble",3.854
2020-12-23,"Tesla reports weak quarterly earnings, meeting analyst expectations",0.4526
2020-12-24,"Meta reports strong quarterly earnings, beating analyst expectations",0.7952
2020-12-25,"Apple CEO resigns, stock price jump",0.7889
2020-12-26,Healthcare stocks rallies amid inflation concerns,0.8371
2020-12-27,"Meta announces restructuring, shares decline",0.8135
2020-12-28,Market volatility increases as inflation concerns,1.497
2020-12-29,"Meta CEO announces strategy shift, stock price soar",3.7765
2020-12-30,"GDP falls, markets tumble",5.8986
2020-12-31,"GDP exceeds expectations, markets fall",2.4393
2021-01-01,"Apple faces regulatory scrutiny, analysts downgrade",0.7532
2021-01-02,"GDP disappoints, markets rise",2.0664
2021-01-03,"Tesla faces regulatory scrutiny, analysts maintain rating",2.2619
2021-01-04,"Tesla faces scandal, analysts downgrade",1.5639
2021-01-05,Trading volume drops for Nvidia on merger news,1.215
2021-01-06,"Meta faces competition, analysts downgrade",1.8476
2021-01-07,"Federal Reserve cuts rates, growth expected",0.1334
2021-01-08,Trading volume drops for Microsoft on earnings report,3.1691
2021-01-09,"Meta announces restructuring, shares fall",1.3639
2021-01-10,Consumer stocks climbs amid supply chain issues,5.0977
2021-01-11,"Google faces regulatory scrutiny, analysts upgrade",1.4062
2021-01-12,"Federal Reserve cuts rates, stability expected",0.9958
2021-01-13,Market volatility increases as inflation concerns,13.689
2021-01-14,Market volatility surges as inflation concerns,1.1893
2021-01-15,"Meta CEO appointed, stock price tumble",5.1652
2021-01-16,"Tesla announces restructuring, shares tumble",5.6206
2021-01-17,"Apple CEO appointed, stock price rise",0.8884
2021-01-18,"Apple announces stock split, shares soar",1.9303
2021-01-19,Market volatility surges as supply chain issues,3.2316
2021-01-20,Amazon stock plunges 13% on earnings report,1.6263
2021-01-21,Healthcare stocks rallies amid geopolitical tensions,3.6576
2021-01-22,Energy stocks rallies amid geopolitical tensions,0.6948
2021-01-23,"Apple faces lawsuit, analysts downgrade",1.4687
2021-01-24,"Meta faces lawsuit, analysts upgrade",0.4878
2021-01-25,"Federal Reserve maintains policy, stability expected",4.0145
2021-01-26,"Google announces restructuring, shares fall",0.8314
2021-01-27,Trading volume doubles for Amazon on merger news,1.8652
2021-01-28,Trading volume drops for Amazon on merger news,7.5206
2021-01-29,"Retail sales exceeds expectations, markets fall",1.8976
2021-01-30,Healthcare stocks rallies amid supply chain issues,0.137
2021-01-31,Google stock plunges 9% on earnings report,8.1229
2021-02-01,"Apple reports strong quarterly earnings, beating analyst expectations",3.3188
2021-02-02,"Tesla reports weak quarterly earnings, exceeding analyst expectations",0.33
2021-02-03,"Federal Reserve maintains policy, volatility expected",2.1783
2021-02-04,Google stock rallies 1% on regulatory approval,10.8015
2021-02-05,"Google reports weak quarterly earnings, beating analyst expectations",1.0343
2021-02-06,"Amazon announces stock split, shares decline",1.5615
2021-02-07,"Federal Reserve raises rates, volatility expected",1.3812
2021-02-08,Meta stock plunges 11% on regulatory approval,2.7541
2021-02-09,Google stock falls 7% on product launch,0.6159
2021-02-10,"Tesla CEO announces strategy shift, stock price tumble",1.3418
2021-02-11,"Inflation disappoints, markets tumble",8.0351
2021-02-12,Consumer stocks drops amid geopolitical tensions,0.59
2021-02-13,"Federal Reserve raises rates, growth expected",4.0234
2021-02-14,Trading volume doubles for Tesla on merger news,0.8464
2021-02-15,"Meta faces regulatory scrutiny, analysts downgrade",0.9247
2021-02-16,Trading volume spikes for Microsoft on regulatory approval,0.2822
2021-02-17,"Employment exceeds expectations, markets soar",1.8432
2021-02-18,Market volatility rises as recession fears,1.9852
2021-02-19,"Nvidia faces scandal, analysts maintain rating",3.2523
2021-02-20,Financial stocks rallies amid supply chain issues,2.5316
2021-02-21,"Federal Reserve maintains policy, growth expected",2.3906
2021-02-22,"Nvidia CEO announces strategy shift, stock price rise",4.4128
2021-02-23,"Google faces competition, analysts revise outlook",0.9428
2021-02-24,"Google faces scandal, analysts downgrade",1.4736
2021-02-25,Meta stock plunges 10% on merger news,2.7746
2021-02-26,Market volatility rises as geopolitical tensions,1.1521
2021-02-27,Consumer stocks rallies amid recession fears,2.5274
2021-02-28,"Federal Reserve raises rates, volatility expected",1.6179
2021-03-01,"Apple announces buyback program, shares tumble",2.7713
2021-03-02,"Apple announces buyback program, shares soar",1.332
2021-03-03,"Amazon faces scandal, analysts maintain rating",0.9938
2021-03-04,"Amazon faces scandal, analysts maintain rating",0.2663
2021-03-05,"Microsoft announces dividend increase, shares decline",2.4581
2021-03-06,"Federal Reserve signals dovish stance, growth expected",1.0959
2021-03-07,"Federal Reserve cuts rates, stability expected",0.4111
2021-03-08,"Federal Reserve maintains policy, stability expected",1.4343
2021-03-09,"Tesla reports disappointing quarterly earnings, missing analyst expectations",3.2924
2021-03-10,"Employment disappoints, markets tumble",0.9222
2021-03-11,"Tesla reports disappointing quarterly earnings, beating analyst expectations",0.7868
2021-03-12,"Apple faces lawsuit, analysts maintain rating",1.2124
2021-03-13,Microsoft stock rallies 10% on merger news,0.5242
2021-03-14,"Federal Reserve signals dovish stance, stability expected",0.9925
2021-03-15,Amazon stock drops 8% on merger news,2.2848
2021-03-16,"Amazon CEO announces strategy shift, stock price fall",0.3608
2021-03-17,Healthcare stocks rallies amid recession fears,2.755
2021-03-18,"Google faces scandal, analysts revise outlook",0.278
2021-03-19,Market volatility increases as supply chain issues,1.1136
2021-03-20,"Microsoft announces buyback program, shares rise",0.2385
2021-03-21,Financial stocks drops amid geopolitical tensions,0.7383
2021-03-22,"Federal Reserve maintains policy, growth expected",0.748
2021-03-23,"Federal Reserve cuts rates, stability expected",4.0763
2021-03-24,"Tesla announces restructuring, shares fall",1.853
2021-03-25,Nvidia stock drops 14% on earnings report,0.3896
2021-03-26,Tech stocks rallies amid inflation concerns,1.6191
2021-03-27,"Retail sales rises, markets jump",1.26
2021-03-28,Trading volume doubles for Meta on product launch,1.2866
2021-03-29,Trading volume drops for Microsoft on product launch,0.638
2021-03-30,"Google faces regulatory scrutiny, analysts maintain rating",0.1
